FORWARD_CHAIN req=32 -> candidate=req30 chain_day=3
COMMIT req=32 type=1 delivery=1 pickup=3
COMMIT req=398 type=3 delivery=17 pickup=18 chained_from=req70
BACKWARDS_EXTEND req=230 onto pool day=18 type=3
COMMIT req=230 type=3 delivery=18 pickup=20 chained_from=req98
BACKWARDS_EXTEND req=270 onto pool day=19 type=3
COMMIT req=270 type=3 delivery=19 pickup=20 chained_from=req170
BACKWARDS_EXTEND req=68 onto pool day=20 type=3
COMMIT req=68 type=3 delivery=20 pickup=23 chained_from=req341
BACKWARDS_EXTEND req=79 onto pool day=22 type=3
COMMIT req=79 type=3 delivery=22 pickup=25 chained_from=req127
BACKWARDS_EXTEND req=149 onto pool day=21 type=3
COMMIT req=149 type=3 delivery=21 pickup=24 chained_from=req20
BACKWARDS_EXTEND req=231 onto pool day=23 type=3
COMMIT req=231 type=3 delivery=23 pickup=25 chained_from=req4
BACKWARDS_EXTEND req=462 onto pool day=10 type=3
COMMIT req=462 type=3 delivery=10 pickup=11 chained_from=req169
BACKWARDS_EXTEND req=370 onto pool day=12 type=3
COMMIT req=370 type=3 delivery=12 pickup=14 chained_from=req263
BACKWARDS_EXTEND req=434 onto pool day=13 type=3
COMMIT req=434 type=3 delivery=13 pickup=15 chained_from=req475
BACKWARDS_EXTEND req=492 onto pool day=14 type=3
COMMIT req=492 type=3 delivery=14 pickup=17 chained_from=req12
BACKWARDS_EXTEND req=383 onto pool day=11 type=3
COMMIT req=383 type=3 delivery=11 pickup=12 chained_from=req21
BACKWARDS_EXTEND req=447 onto pool day=15 type=3
COMMIT req=447 type=3 delivery=15 pickup=16 chained_from=req39
BACKWARDS_EXTEND req=496 onto pool day=16 type=3
COMMIT req=496 type=3 delivery=16 pickup=17 chained_from=req261
BACKWARDS_EXTEND req=426 onto pool day=17 type=3
COMMIT req=426 type=3 delivery=17 pickup=18 chained_from=req70
BACKWARDS_EXTEND req=356 onto pool day=18 type=3
COMMIT req=356 type=3 delivery=18 pickup=21 chained_from=req98
BACKWARDS_EXTEND req=471 onto pool day=19 type=3
COMMIT req=471 type=3 delivery=19 pickup=22 chained_from=req170
BACKWARDS_EXTEND req=96 onto pool day=20 type=3
COMMIT req=96 type=3 delivery=20 pickup=22 chained_from=req341
BACKWARDS_EXTEND req=101 onto pool day=22 type=3
COMMIT req=101 type=3 delivery=22 pickup=24 chained_from=req127
BACKWARDS_EXTEND req=192 onto pool day=21 type=3
COMMIT req=192 type=3 delivery=21 pickup=23 chained_from=req20
BACKWARDS_EXTEND req=22 onto pool day=23 type=3
COMMIT req=22 type=3 delivery=23 pickup=25 chained_from=req4
BACKWARDS_EXTEND req=123 onto pool day=24 type=3
COMMIT req=123 type=3 delivery=24 pickup=25 chained_from=req149
BACKWARDS_EXTEND req=445 onto pool day=15 type=3
COMMIT req=445 type=3 delivery=15 pickup=16 chained_from=req39
BACKWARDS_EXTEND req=378 onto pool day=16 type=3
COMMIT req=378 type=3 delivery=16 pickup=19 chained_from=req261
BACKWARDS_EXTEND req=484 onto pool day=17 type=3
COMMIT req=484 type=3 delivery=17 pickup=19 chained_from=req70
BACKWARDS_EXTEND req=491 onto pool day=18 type=3
COMMIT req=491 type=3 delivery=18 pickup=19 chained_from=req98
BACKWARDS_EXTEND req=485 onto pool day=19 type=3
COMMIT req=485 type=3 delivery=19 pickup=22 chained_from=req170
BACKWARDS_EXTEND req=243 onto pool day=20 type=3
COMMIT req=243 type=3 delivery=20 pickup=21 chained_from=req341
BACKWARDS_EXTEND req=163 onto pool day=22 type=3
COMMIT req=163 type=3 delivery=22 pickup=24 chained_from=req127
BACKWARDS_EXTEND req=232 onto pool day=21 type=3
COMMIT req=232 type=3 delivery=21 pickup=23 chained_from=req20
BACKWARDS_EXTEND req=239 onto pool day=23 type=3
COMMIT req=239 type=3 delivery=23 pickup=25 chained_from=req4
BACKWARDS_EXTEND req=420 onto pool day=24 type=3
COMMIT req=420 type=3 delivery=24 pickup=25 chained_from=req149
BACKWARDS_EXTEND req=265 onto pool day=17 type=3
COMMIT req=265 type=3 delivery=17 pickup=20 chained_from=req70
BACKWARDS_EXTEND req=312 onto pool day=18 type=3
COMMIT req=312 type=3 delivery=18 pickup=21 chained_from=req98
BACKWARDS_EXTEND req=255 onto pool day=19 type=3
COMMIT req=255 type=3 delivery=19 pickup=21 chained_from=req170
BACKWARDS_EXTEND req=290 onto pool day=20 type=3
COMMIT req=290 type=3 delivery=20 pickup=23 chained_from=req341
BACKWARDS_EXTEND req=236 onto pool day=22 type=3
COMMIT req=236 type=3 delivery=22 pickup=24 chained_from=req127
BACKWARDS_EXTEND req=369 onto pool day=21 type=3
COMMIT req=369 type=3 delivery=21 pickup=22 chained_from=req20
BACKWARDS_EXTEND req=271 onto pool day=23 type=3
COMMIT req=271 type=3 delivery=23 pickup=24 chained_from=req4
BACKWARDS_EXTEND req=424 onto pool day=18 type=3
COMMIT req=424 type=3 delivery=18 pickup=19 chained_from=req98
BACKWARDS_EXTEND req=418 onto pool day=19 type=3
COMMIT req=418 type=3 delivery=19 pickup=21 chained_from=req170
BACKWARDS_EXTEND req=440 onto pool day=20 type=3
COMMIT req=440 type=3 delivery=20 pickup=23 chained_from=req341
BACKWARDS_EXTEND req=295 onto pool day=22 type=3
COMMIT req=295 type=3 delivery=22 pickup=25 chained_from=req127
BACKWARDS_EXTEND req=376 onto pool day=21 type=3
COMMIT req=376 type=3 delivery=21 pickup=22 chained_from=req20
BACKWARDS_EXTEND req=357 onto pool day=23 type=3
COMMIT req=357 type=3 delivery=23 pickup=25 chained_from=req4
BACKWARDS_EXTEND req=412 onto pool day=19 type=3
COMMIT req=412 type=3 delivery=19 pickup=21 chained_from=req170
BACKWARDS_EXTEND req=395 onto pool day=20 type=3
COMMIT req=395 type=3 delivery=20 pickup=23 chained_from=req341
UNCOMMIT req=32 type=1 delivery=1 pickup=3
COMMIT req=32 type=1 delivery=1 pickup=3
UNCOMMIT req=82 type=1 delivery=1 pickup=3
COMMIT req=82 type=1 delivery=1 pickup=3
UNCOMMIT req=161 type=1 delivery=1 pickup=2
COMMIT req=161 type=1 delivery=1 pickup=2
UNCOMMIT req=225 type=1 delivery=1 pickup=3
COMMIT req=225 type=1 delivery=1 pickup=3
UNCOMMIT req=110 type=2 delivery=1 pickup=4
COMMIT req=110 type=2 delivery=1 pickup=4
UNCOMMIT req=320 type=2 delivery=1 pickup=3
COMMIT req=320 type=2 delivery=1 pickup=3
UNCOMMIT req=452 type=2 delivery=1 pickup=2
COMMIT req=452 type=2 delivery=1 pickup=2
UNCOMMIT req=74 type=3 delivery=2 pickup=3
COMMIT req=74 type=3 delivery=2 pickup=3
